"IDS_CUSTOMER","DESC_CUSTOMER","ID_COUNTRY","ID_AREA_MANAGER"
"00000-690719","CUSTOMER 00000-690719","FR","4F7"
"00000-703897","CUSTOMER 00000-703897","ES","443"
"00000-728589","CUSTOMER 00000-728589","US","4CT"
"00405-209362","CUSTOMER 00405-209362","IT","A12"
"00405-211021","CUSTOMER 00405-211021","IT","A12"
"00040-610624","CUSTOMER 00040-610624","NL","423"
"00000-610624","CUSTOMER 00000-610624","NL","4F2"
"00000-615382","CUSTOMER 00000-615382","US","4CT"
"00000-643268","CUSTOMER 00000-643268","US","4CR"
"00000-659986","CUSTOMER 00000-659986","CA","4CO"
"80640-207312","CUSTOMER 80640-207312","CA","4E3"
"00040-653678","CUSTOMER 00040-653678","CZ","408"
"80640-649636","CUSTOMER 80640-649636","US","4X4"
"00000-632437","CUSTOMER 00000-632437","US","4CS"
"80640-632482","CUSTOMER 80640-632482","US","4CU"
"00000-632468","CUSTOMER 00000-632468","US","4CN"
"80640-632475","CUSTOMER 80640-632475","US","4E2"
"00000-685921","CUSTOMER 00000-685921","US","4CL"
"80640-651917","CUSTOMER 80640-651917","US","4D9"
"00000-667754","CUSTOMER 00000-667754","US","4C2"
"80640-1027012","CUSTOMER 80640-1027012","CA","4D6"
"80640-1042349","CUSTOMER 80640-1042349","US","4CS"
"00040-1013964","CUSTOMER 00040-1013964","IT","499"
"00040-1088336","CUSTOMER 00040-1088336","NL","423"
"00040-1014350","CUSTOMER 00040-1014350","IT","499"
"80640-1028030","CUSTOMER 80640-1028030","US","4D9"
"00405-217510","CUSTOMER 00405-217510","N/A","ATO"
"80640-489002","CUSTOMER 80640-489002","US","4E2"
"00000-367779","CUSTOMER 00000-367779","US","4C1"
"80640-473181","CUSTOMER 80640-473181","US","4X4"
"00000-493761","CUSTOMER 00000-493761","US","4C1"
"80640-493761","CUSTOMER 80640-493761","US","4X4"
"00040-496298","CUSTOMER 00040-496298","FR","4N1"
"00000-494987","CUSTOMER 00000-494987","FR","4F7"
"00405-11871","CUSTOMER 00405-11871","IT","A66"
"00405-222568","CUSTOMER 00405-222568","IT","A12"
"80640-1027348","CUSTOMER 80640-1027348","CA","4D6"
"80640-1017550","CUSTOMER 80640-1017550","US","4X4"
"00040-1083212","CUSTOMER 00040-1083212","FR","4N1"
"00040-1011720","CUSTOMER 00040-1011720","FR","4N1"
"00416-39276","CUSTOMER 00416-39276","IT","499"
"00416-40008","CUSTOMER 00416-40008","FR","4F7"
"00040-63102","CUSTOMER 00040-63102","DE","448"
"00040-64100","CUSTOMER 00040-64100","DE","448"
"00040-64563","CUSTOMER 00040-64563","FR","430"
"00040-39918","CUSTOMER 00040-39918","DE","448"
"00040-47887","CUSTOMER 00040-47887","FR","4N1"
"00040-48140","CUSTOMER 00040-48140","FR","4N1"
"00040-48153","CUSTOMER 00040-48153","FR","4N1"
"00040-53520","CUSTOMER 00040-53520","IT","4N4"
"00040-69523","CUSTOMER 00040-69523","IT","4N4"
"00040-70533","CUSTOMER 00040-70533","DE","448"
"00040-324198","CUSTOMER 00040-324198","BE","423"
"00040-41717","CUSTOMER 00040-41717","DE","448"
"00040-255827","CUSTOMER 00040-255827","FR","4N1"
"00040-76292","CUSTOMER 00040-76292","IT","499"
"00000-343209","CUSTOMER 00000-343209","US","4C1"
"00000-347833","CUSTOMER 00000-347833","US","N/A"
"00040-383414","CUSTOMER 00040-383414","IT","4N4"
"00000-450775","CUSTOMER 00000-450775","US","407"
"80640-450775","CUSTOMER 80640-450775","US","4X4"
"00000-443770","CUSTOMER 00000-443770","US","415"
"80640-443770","CUSTOMER 80640-443770","US","4D9"
"00000-444800","CUSTOMER 00000-444800","US","407"
"80640-444800","CUSTOMER 80640-444800","US","4CU"
"00000-445011","CUSTOMER 00000-445011","DE","N/A"
"00000-441486","CUSTOMER 00000-441486","US","415"
"80640-441486","CUSTOMER 80640-441486","US","4D9"
"00000-446659","CUSTOMER 00000-446659","US","415"
"00000-453982","CUSTOMER 00000-453982","US","415"
"80640-453982","CUSTOMER 80640-453982","US","4D9"
"00000-438233","CUSTOMER 00000-438233","US","415"
"80640-438233","CUSTOMER 80640-438233","US","4X4"
"00000-450044","CUSTOMER 00000-450044","US","415"
"00000-379487","CUSTOMER 00000-379487","IT","430"
"00000-373190","CUSTOMER 00000-373190","GB","445"
"00000-10277","CUSTOMER 00000-10277","IT","430"
"00000-459504","CUSTOMER 00000-459504","US","407"
"80640-459504","CUSTOMER 80640-459504","US","4CU"
"00000-460670","CUSTOMER 00000-460670","US","4C1"
"00416-456235","CUSTOMER 00416-456235","IT","499"
"00000-454403","CUSTOMER 00000-454403","DE","4F2"
"00040-454403","CUSTOMER 00040-454403","DE","448"
"00040-659986","CUSTOMER 00040-659986","CA","4D6"
"00000-758559","CUSTOMER 00000-758559","US","4CO"
"00000-758934","CUSTOMER 00000-758934","US","4CT"
"00000-821997","CUSTOMER 00000-821997","US","4CS"
"00040-1057531","CUSTOMER 00040-1057531","IT","499"
"80640-1048669","CUSTOMER 80640-1048669","CA","4E1"
"00000-461981","CUSTOMER 00000-461981","DE","448"
"00040-461981","CUSTOMER 00040-461981","DE","448"
"00000-454567","CUSTOMER 00000-454567","US","415"
"80640-454567","CUSTOMER 80640-454567","US","4X4"
"00000-455791","CUSTOMER 00000-455791","FR","4F7"
"00040-455791","CUSTOMER 00040-455791","FR","4N1"
"00000-462944","CUSTOMER 00000-462944","US","407"
"00000-456235","CUSTOMER 00000-456235","IT","499"
"00040-456235","CUSTOMER 00040-456235","IT","4N4"
"80640-462944","CUSTOMER 80640-462944","US","4X4"
"00000-457458","CUSTOMER 00000-457458","US","407"
"80640-457458","CUSTOMER 80640-457458","US","4CS"
"00000-117909","CUSTOMER 00000-117909","IT","430"
"00000-11142","CUSTOMER 00000-11142","IT","400"
"00000-11501","CUSTOMER 00000-11501","IT","430"
"00000-11503","CUSTOMER 00000-11503","IT","430"
"00000-11505","CUSTOMER 00000-11505","IT","430"
"00000-11507","CUSTOMER 00000-11507","IT","430"
"00000-11500","CUSTOMER 00000-11500","IT","430"
"00000-11506","CUSTOMER 00000-11506","IT","430"
"00000-118968","CUSTOMER 00000-118968","DE","4F2"
"80640-1049786","CUSTOMER 80640-1049786","CA","4D6"
"80640-1064230","CUSTOMER 80640-1064230","US","4CT"
"00000-39918","CUSTOMER 00000-39918","DE","4F2"
"00000-39323","CUSTOMER 00000-39323","DE","4F2"
"00000-39325","CUSTOMER 00000-39325","DE","4F2"
"00000-39327","CUSTOMER 00000-39327","DE","4F2"
"00000-42576","CUSTOMER 00000-42576","IT","430"
"00000-42581","CUSTOMER 00000-42581","IT","430"
"00000-39329","CUSTOMER 00000-39329","DE","4F2"
